"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","model","partition"
"tol1","|","t1",-1.24374824700315,0.0956037177936199,-13.009412977935,0,-1.43112809066678,-1.05636840333952,-1.24374824700315,-1.24374824700315,"one_factor","validation"
"tol1","|","t2",0.816455819702471,0.0807754710655784,10.1077196942575,0,0.65813880557968,0.974772833825262,0.816455819702471,0.816455819702471,"one_factor","validation"
"tol1","|","t3",1.54239619238884,0.112725493479162,13.6827628319406,0,1.32145828503018,1.7633340997475,1.54239619238884,1.54239619238884,"one_factor","validation"
"tol1","|","t4",2.72283222301674,0.330385512605194,8.24137899251802,2.22044604925031e-16,2.07528851729676,3.37037592873673,2.72283222301674,2.72283222301674,"one_factor","validation"
"tol2","|","t1",-0.503110291561242,0.0747978454073423,-6.72626716480066,1.74071868030978e-11,-0.649711374680828,-0.356509208441657,-0.503110291561242,-0.503110291561242,"one_factor","validation"
"tol2","|","t2",1.39900228539625,0.103630467309432,13.4999129282989,0,1.19589030176871,1.60211426902379,1.39900228539625,1.39900228539625,"one_factor","validation"
"tol2","|","t3",1.80421626184595,0.134746492963949,13.3897084974869,0,1.54011798859353,2.06831453509837,1.80421626184595,1.80421626184595,"one_factor","validation"
"tol2","|","t4",2.72283222301674,0.330385512605194,8.24137899251802,2.22044604925031e-16,2.07528851729676,3.37037592873673,2.72283222301674,2.72283222301674,"one_factor","validation"
"tol3","|","t1",-1.80421626184595,0.134746492963949,-13.3897084974869,0,-2.06831453509837,-1.54011798859353,-1.80421626184595,-1.80421626184595,"one_factor","validation"
"tol3","|","t2",-0.0852799450788843,0.0715086459707256,-1.19258229436754,0.233033003452399,-0.225434315764732,0.054874425606963,-0.0852799450788843,-0.0852799450788843,"one_factor","validation"
"tol3","|","t3",0.343275001031319,0.0729644798942381,4.70468646564596,2.54256391896135e-06,0.200267248287915,0.486282753774722,0.343275001031319,0.343275001031319,"one_factor","validation"
"tol3","|","t4",1.94495881568228,0.150356771154524,12.9356250519866,0,1.65026495938768,2.23965267197688,1.94495881568228,1.94495881568228,"one_factor","validation"
"tol4","|","t1",-0.750299350591415,0.0792222028495064,-9.47082160813823,0,-0.905572014952374,-0.595026686230456,-0.750299350591415,-0.750299350591415,"one_factor","validation"
"tol4","|","t2",0.377904394035618,0.0732985724827651,5.1556855916188,2.52704607017762e-07,0.2342418318512,0.521566956220036,0.377904394035618,0.377904394035618,"one_factor","validation"
"tol4","|","t3",0.677037948880649,0.0776929277027641,8.71428029422249,0,0.524762608729757,0.829313289031541,0.677037948880649,0.677037948880649,"one_factor","validation"
"tol4","|","t4",2.33741769899198,0.21511270259347,10.866014283728,0,1.9158045492917,2.75903084869225,2.33741769899198,2.33741769899198,"one_factor","validation"
"ic1","|","t1",-2.72283222301675,0.330385512605193,-8.24137899251807,2.22044604925031e-16,-3.37037592873673,-2.07528851729677,-2.72283222301675,-2.72283222301675,"one_factor","validation"
"ic1","|","t2",-2.00178887120238,0.157598485790955,-12.7018280737648,0,-2.31067622737069,-1.69290151503406,-2.00178887120238,-2.00178887120238,"one_factor","validation"
"ic1","|","t3",-0.549701290113435,0.0754770848338829,-7.28302227521465,3.26405569239796e-13,-0.697633658045919,-0.40176892218095,-0.549701290113435,-0.549701290113435,"one_factor","validation"
"word1","|","t1",-1.69216306478997,0.124340889886947,-13.6090634893197,0,-1.93586673077404,-1.44845939880589,-1.69216306478997,-1.69216306478997,"one_factor","validation"
"word1","|","t2",-1.51627496920253,0.110933066591304,-13.668376939301,0,-1.73369978441607,-1.29885015398899,-1.51627496920253,-1.51627496920253,"one_factor","validation"
"word1","|","t3",-0.475677423895018,0.0744293204055093,-6.39099512535396,1.6480972142574e-10,-0.621556211283608,-0.329798636506428,-0.475677423895018,-0.475677423895018,"one_factor","validation"
"word1","|","t4",0.935531295081454,0.0840184016154289,11.1348380484979,0,0.770858253876591,1.10020433628632,0.935531295081454,0.935531295081454,"one_factor","validation"
"word2","|","t1",-1.86118702496097,0.145987740932092,-12.7489268145243,0,-2.14731773937224,-1.57505631054971,-1.86118702496097,-1.86118702496097,"one_factor","validation"
"word2","|","t2",-1.69228138961896,0.129029120379146,-13.1154996999612,0,-1.94517381851897,-1.43938896071895,-1.69228138961896,-1.69228138961896,"one_factor","validation"
"word2","|","t3",-0.342855305390327,0.0757054107676198,-4.52880846842945,5.93172367335804e-06,-0.491235183929672,-0.194475426850981,-0.342855305390327,-0.342855305390327,"one_factor","validation"
"word2","|","t4",1.25615650340623,0.0998024317559885,12.5864318264054,0,1.06054733159498,1.45176567521749,1.25615650340623,1.25615650340623,"one_factor","validation"
"word3","|","t1",-1.76287201506288,0.151184031094941,-11.6604379595873,0,-2.05918727104655,-1.46655675907921,-1.76287201506288,-1.76287201506288,"one_factor","validation"
"word3","|","t2",-1.39008797452971,0.119267981749328,-11.6551647319004,0,-1.62384892326717,-1.15632702579225,-1.39008797452971,-1.39008797452971,"one_factor","validation"
"word3","|","t3",-0.114185294321428,0.0827917370757494,-1.37918708260651,0.167837079728393,-0.276454117207406,0.0480835285645499,-0.114185294321428,-0.114185294321428,"one_factor","validation"
"word3","|","t4",1.33517773611894,0.115798634258407,11.5301682499939,0,1.10821658351353,1.56213888872434,1.33517773611894,1.33517773611894,"one_factor","validation"
"tol1","~~","tol1",0.562373754943177,0,,,0.562373754943177,0.562373754943177,0.562373754943177,0.562373754943177,"one_factor","validation"
"tol2","~~","tol2",0.401536105629356,0,,,0.401536105629356,0.401536105629356,0.401536105629356,0.401536105629356,"one_factor","validation"
"tol3","~~","tol3",0.990397984709631,0,,,0.990397984709631,0.990397984709631,0.990397984709631,0.990397984709631,"one_factor","validation"
"tol4","~~","tol4",0.855410019200359,0,,,0.855410019200359,0.855410019200359,0.855410019200359,0.855410019200359,"one_factor","validation"
"ic1","~~","ic1",0.773953585368029,0,,,0.773953585368029,0.773953585368029,0.773953585368029,0.773953585368029,"one_factor","validation"
"word1","~~","word1",0.930873748567712,0,,,0.930873748567712,0.930873748567712,0.930873748567712,0.930873748567712,"one_factor","validation"
"word2","~~","word2",0.987245628003399,0,,,0.987245628003399,0.987245628003399,0.987245628003399,0.987245628003399,"one_factor","validation"
"word3","~~","word3",0.930120756168568,0,,,0.930120756168568,0.930120756168568,0.930120756168568,0.930120756168568,"one_factor","validation"
"Common","~~","Common",1,0,,,1,1,1,1,"one_factor","validation"
"tol1","~*~","tol1",1,0,,,1,1,1,1,"one_factor","validation"
"tol2","~*~","tol2",1,0,,,1,1,1,1,"one_factor","validation"
"tol3","~*~","tol3",1,0,,,1,1,1,1,"one_factor","validation"
"tol4","~*~","tol4",1,0,,,1,1,1,1,"one_factor","validation"
"ic1","~*~","ic1",1,0,,,1,1,1,1,"one_factor","validation"
"word1","~*~","word1",1,0,,,1,1,1,1,"one_factor","validation"
"word2","~*~","word2",1,0,,,1,1,1,1,"one_factor","validation"
"word3","~*~","word3",1,0,,,1,1,1,1,"one_factor","validation"
"tol1","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"tol2","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"tol3","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"tol4","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"ic1","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"word1","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"word2","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"word3","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"Common","~1","",0,0,,,0,0,0,0,"one_factor","validation"
"Tolerance","=~","tol1",0.602012234969955,0.0348631127743381,17.2678853683163,0,0.533681789543294,0.670342680396616,0.602012234969955,0.602012234969955,"two_factor_four","full"
"Tolerance","=~","tol2",0.796679425909191,0.0389159650466545,20.4717890190849,0,0.720405535994129,0.872953315824254,0.796679425909191,0.796679425909191,"two_factor_four","full"
